Ticker,Name,GR_name,Price,Reg Risk Exp:Y,Climate Chg Pol:Y,GHG Scope 2 Intensity per Sales,Registered Country Location,ICB Sector Name,ICB Industry Name,GICS Sector,GICS Ind Name,ISIN,CDP Rep HFC MetTon CO2 Equiv:Y,CDP Rep PFC MetTon CO2 Equiv:Y,CDP Rep CH4 MetTon CO2 Equiv:Y,CDP Rep SF6 MetTon CO2 Equiv:Y,Emiss Bio Seq Carbon:Y,SOx Emiss:Y,Total Water Withdrawal,Tot Wtr Dschgd:Y,Water Intensity per Assets,Wtr Intens/Sls:Y,Total GHG CO2 Emissions Intensity per Energy,Engy Intens/Empl:Y,Engy Intens/Sls:Y,Waste Generated per Assets,Waste Reduc Pol:Y,Scope 1 Greenhouse Gas / Carbon Dioxide Emissions, GHG Scope 3:Y,GHG Scope 2:Y, GHG Scope 1:Y, GHG Scope 1 Intensity per Sales, GHG Intens/Sls:Y, coordinates
MMM UN Equity,3M Co,3M,157.69,1,1,70.39376512,US,General Industrials,Industrials,Industrials,Industrial Conglomerates,US88579Y1010,,,,,,,36636,,1307.523471,1282.376343,778.159048,94.02809906,268.1549988,14.06648746,1,4.4,11110,2240,4400,138.2734672,208.6672058,
ABT UN Equity,Abbott Laboratories,Abbott,39.1,1,1,26.37427666,US,Pharmaceuticals & Biotechnology,Health Care,Health Care,Health Care Equipment & Supplies,US0028241000,7700,100,400,,5000,0.039999999,0,10069.6543,304.0814639,618.8712158,311.0164042,44.01150131,167.3773041,1.416094338,1,0.519999981,182.3130035,534,520,25.68281627,52.05709839,
ABBV UN Equity,AbbVie Inc,AbbVie,54.27,1,1,17.93587226,US,Pharmaceuticals & Biotechnology,Health Care,Health Care,Biotechnology,US00287Y1091,1800.930054,,361.3500061,,,1.126000047,32500,,0,,301.7857126,86.15380096,112.2244034,1.410242472,1,0.317999989,,358,318,15.93186317,33.86769867,
ACN UN Equity,Accenture PLC,Accenture,99.93,,1,0,IE,Support Services,Industrials,Information Technology,IT Services,IE00B4BNMY34,,,,,,,0,,0,,0,1.430500031,13.6885004,0,1,0,407.6149902,228.0299988,29.7670002,0,8.087800026,
ATVI UW Equity,Activision Blizzard Inc,,31.69,,0,0,US,Leisure Goods,Consumer Goods,Information Technology,Software,US00507V1098,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
ADBE UW Equity,Adobe Systems Inc,Adobe Systems,83.61,1,0,7.040882987,US,Software & Computer Services,Technology,Information Technology,Software,US00724F1012,,,0.319999993,,,,0,,0,0.187399998,395.788714,8.518799782,25.67499924,0.133424145,1,0.012943,33.12799835,29.1989994,12.94299984,3.121002405,10.16189957,
ADT UN Equity,ADT Corp/The,ADT,40.15,,0,0,US,Support Services,Industrials,Industrials,Commercial Services & Supplies,US00101J1060,,,,,,,0,,0,,0,,,0,1,0,,,,0,,
AAP UN Equity,Advance Auto Parts Inc,,147.81,,0,0,US,General Retailers,Consumer Services,Consumer Discretionary,Specialty Retail,US00751Y1064,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AES UN Equity,AES Corp/VA,AES,9.67,1,0,33.59383968,US,Electricity,Utilities,Utilities,Independent Power and Renewable Electricity Producers,US00130H1059,,,946,257,123467,,6552759.766,6219280,0,,0,,,192.6646551,1,74.97299957,2922,576,74973,4372.623327,4406.217285,
AET UN Equity,Aetna Inc,Aetna Inc.,105.52,1,0,0,US,Health Care Equipment & Services,Health Care,Health Care,Health Care Providers & Services,US00817Y1082,,,,,,,0,,0,,0,,,0,1,0,,62.98500061,18.70599937,0,2.639400005,
AMG UN Equity,Affiliated Managers Group Inc,,134.24,,0,0,US,Financial Services,Financials,Financials,Capital Markets,US0082521081,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AFL UN Equity,Aflac Inc,AFLAC,59.65,,0,0,US,Life Insurance,Financials,Financials,Insurance,US0010551028,92,,3,,,,0,,0,,0,,,0,1,0,,26.43099976,6.224999905,0,1.9727,
A UN Equity,Agilent Technologies Inc,Agilent Technologies,38,,0,0,US,Electronic & Electrical Equipment,Industrials,Health Care,Life Sciences Tools & Services,US00846U1016,,,,,,,0,,0,26661.80078,0,11.29179955,61.08369827,0,1,0,97.98899841,96.09999847,13.64599991,0,27.11120033,
GAS UN Equity,AGL Resources Inc,AGL,64.77,,0,0,US,"Gas, Water & Multiutilities",Utilities,Utilities,Gas Utilities,US0012041069,,,,,,,0,,0,21070.375,0,26.41589928,29.1765995,0,0,0,,,,0,435.7354126,
APD UN Equity,Air Products & Chemicals Inc,Air Products,132.71,,0,0,US,Chemicals,Basic Materials,Materials,Chemicals,US0091581068,,,,,1200,0.100000001,0,104872,0,19135.54883,0,5396.556641,10959.57422,0,1,0,13660,11570,15880,0,2629.562256,
ARG UN Equity,Airgas Inc,Airgas,141.47,,0,0,US,Chemicals,Basic Materials,Materials,Chemicals,US0093631028,,,,,,,0,,0,,0,,,0,1,0,,,,0,,
AKAM UW Equity,Akamai Technologies Inc,Akamai,54.32,1,1,44.06188825,US,Software & Computer Services,Technology,Information Technology,Internet Software & Services,US00971T1016,,,,,,,0,,0,,274.2292551,62.20980072,161.7115021,0,1,0.000558,95.30500031,86.53199768,0.558000028,0.284132281,44.34600067,
AA UN Equity,Alcoa Inc,Alcoa,8.86,1,1,564.7117878,US,Industrial Metals & Mining,Basic Materials,Materials,Metals & Mining,US0138171014,0,2090691,9854,0,2876,,98800,,0,,318.308239,2151.203369,5309.169434,0,1,26.9,4600,13500,26900,1125.240525,1689.952271,
ALXN UW Equity,Alexion Pharmaceuticals Inc,,145.52,,0,0,US,Pharmaceuticals & Biotechnology,Health Care,Health Care,Biotechnology,US0153511094,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
ALLE UN Equity,Allegion PLC,,60.8,,,0,IE,Electronic & Electrical Equipment,Industrials,Industrials,Building Products,IE00BFRT3W74,,,,,,,0,,0,,0,,,0,,0,,,,0,,
AGN UN Equity,Allergan plc,Allergan,282.92,1,0,0,IE,Pharmaceuticals & Biotechnology,Health Care,Health Care,Pharmaceuticals,IE00BY9D5467,,,,,6,,0,,0,,0,,,0,0,0,,66.78099823,321.8190002,0,153.2635956,
ADS UN Equity,Alliance Data Systems Corp,Alliance Data,210.65,0,0,15.07974814,US,Support Services,Industrials,Information Technology,IT Services,US0185811082,,,,,,,0,,0,,0,,,0,0,0.002254,100.3040009,79.96700287,2.253999949,0.425047225,15.50479984,
ALL UN Equity,Allstate Corp/The,Allstate,64.3,1,1,3.320724118,US,Nonlife Insurance,Financials,Financials,Insurance,US0200021014,,,,,,,0,,0,8.344099998,0,12.02789974,13.52429962,0,1,0.052689999,32.06499863,117.0189972,52.68999863,1.495218327,4.815899849,
GOOGL UW Equity,Alphabet Inc,,732.23,1,0,33.31495081,US,Software & Computer Services,Technology,Information Technology,Internet Software & Services,US02079K3059,,,,,14481,,0,,0,,511.1746502,82.14250183,66.70870209,0,1,0.051801998,980.78302,2198.820068,51.80199814,0.784866868,34.09980011,
GOOG UW Equity,Alphabet Inc,,709.75,1,0,33.31495081,US,Software & Computer Services,Technology,Information Technology,Internet Software & Services,US02079K1079,,,,,14481,,0,,0,,511.1746502,82.14250183,66.70870209,0,1,0.051801998,980.78302,2198.820068,51.80199814,0.784866868,34.09980011,
MO UN Equity,Altria Group Inc,Altria Group,60.99,1,0,13.18980185,US,Tobacco,Consumer Goods,Consumer Staples,Tobacco,US02209S1033,,,,,,,11250.7998,,326.345387,626.9578247,317.0003202,153.7944031,77.13289642,1.344435085,1,0.202085007,7.982999802,236.6909943,202.0850067,11.26135451,24.45120049,
AMZN UW Equity,Amazon.com Inc,,557.09,,0,0,US,General Retailers,Consumer Services,Consumer Discretionary,Internet & Catalog Retail,US0231351067,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AEE UN Equity,Ameren Corp,Ameren,45.73,1,1,15.1130012,US,"Gas, Water & Multiutilities",Utilities,Utilities,Multi-Utilities,US0236081024,,,177491.7656,40020.83984,,,0,4264890,0,,0,,,0,1,30.675,1213.410034,91.47899628,30675,5067.735007,5082.834961,
AAL UW Equity,American Airlines Group Inc,American Airlines,40.57,1,0,12.1688158,US,Travel & Leisure,Consumer Services,Industrials,Airlines,US02376R1023,,,,,,1.434999943,0,,40.38902293,41.45059967,174.9037144,2133.666748,5668.099609,0.511708679,1,41.76300049,184,519,41763,979.202825,991.3717041,
AEP UN Equity,American Electric Power Co Inc,American Electric Power (AEP),62.36,1,1,0,US,Electricity,Utilities,Utilities,Electric Utilities,US0255371017,,,322600,99600,6326,,0,9742460,0,,0,,,0,1,0,,0,136000,0,8997.088867,
AXP UN Equity,American Express Co,American Express Global Business Travel,55.24,1,0,0,US,Financial Services,Financials,Financials,Consumer Finance,US0258161092,,,,,,,0,,0,,0,,,0,1,0,,211.526001,26.88699913,0,7.469099998,
AIG UN Equity,American International Group Inc,AIG (American International Group),51.91,0,1,0,US,Nonlife Insurance,Financials,Financials,Insurance,US0268747849,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AMT UN Equity,American Tower Corp,American Tower,89.31,,0,0,US,Real Estate Investment Trusts,Financials,Financials,Real Estate Investment Trusts (REITs),US03027X1000,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AMP UN Equity,Ameriprise Financial Inc,,84.58,,0,0,US,Financial Services,Financials,Financials,Capital Markets,US03076C1062,,,,,,,0,,0,,0,,,0,1,0,,,,0,,
ABC UN Equity,AmerisourceBergen Corp,,87.6,,0,0,US,Food & Drug Retailers,Consumer Services,Health Care,Health Care Providers & Services,US03073E1055,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AME UN Equity,AMETEK Inc,,46.43,,0,0,US,Electronic & Electrical Equipment,Industrials,Industrials,Electrical Equipment,US0311001004,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AMGN UW Equity,Amgen Inc,Amgen Inc.,148.81,1,0,12.8594926,US,Pharmaceuticals & Biotechnology,Health Care,Health Care,Biotechnology,US0311621009,,,95,,,,2487,1551,43.64648089,150.1271057,366.7032701,57.51060104,51.3103981,0.183323915,1,0.119499001,65,258,119.4990005,5.956188035,18.81570053,
APH UN Equity,Amphenol Corp,,52.31,,0,0,US,Electronic & Electrical Equipment,Industrials,Information Technology,"Electronic Equipment, Instruments & Components",US0320951017,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
APC UN Equity,Anadarko Petroleum Corp,Anadarko Petroleum Corporation,37.11,1,1,74.40931055,US,Oil & Gas Producers,Oil & Gas,Energy,"Oil, Gas & Consumable Fuels",US0325111070,,,1816754,,,,31609.59961,655433,0,1377.889038,575.9544284,3752.032959,1239.16626,0,0,11.8077002,27.52099991,1374.339966,11807.7002,639.2907523,713.7033081,
ADI UW Equity,Analog Devices Inc,,52.34,,0,0,US,Technology Hardware & Equipment,Technology,Information Technology,Semiconductors & Semiconductor Equipment,US0326541051,,,,,,,0,,0,417.6651001,0,,,0,1,0,7.888999939,95.15499878,30.11199951,0,47.56330109,
ANTM UN Equity,Anthem Inc,,131.3,0,0,0,US,Health Care Equipment & Services,Health Care,Health Care,Health Care Providers & Services,US0367521038,,,,,,,0,,0,,0,,,0,1,0,12.7215004,,,0,,
AON UN Equity,Aon PLC,,93.69,1,0,0,GB,Nonlife Insurance,Financials,Financials,Insurance,GB00B5BT0K07,,,,,,,0,,0,,0,,,0,1,0,,,,0,,
APA UN Equity,Apache Corp,Apache Corporation,39.4,1,0,103.3134086,US,Oil & Gas Producers,Oil & Gas,Energy,"Oil, Gas & Consumable Fuels",US0374111054,,,3300000,,0,,194234,84738,5026.790821,20755.58984,1574.074074,1090.909058,398.4945984,0,0,7.1,,1400,7100,523.9465722,627.2600098,
AIV UN Equity,Apartment Investment & Management Co,Apartment Investment & Management Company (AIMCO),36.49,,0,0,US,Real Estate Investment Trusts,Financials,Financials,Real Estate Investment Trusts (REITs),US03748R1014,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
AAPL UW Equity,Apple Inc,Apple,96.23,,1,0,US,Technology Hardware & Equipment,Technology,Information Technology,"Technology Hardware, Storage & Peripherals",US0378331005,,,,,17236,,0,,0,10.0649004,0,12.0177002,6.087900162,0,1,0,33836.60156,306.6749878,56.72200012,0,1.988000035,
AMAT UW Equity,Applied Materials Inc,Applied Materials,18.605,,0,0,US,Technology Hardware & Equipment,Technology,Information Technology,Semiconductors & Semiconductor Equipment,US0382221051,,,,,,,0,,0,62.47840118,0,36.58570099,56.45940018,0,1,0,20.27499962,143.095993,43.20700073,0,20.64220047,
ADM UN Equity,Archer-Daniels-Midland Co,Archer Daniels Midland,33.68,1,0,0,US,Food Producers,Consumer Goods,Consumer Staples,Food Products,US0394831020,15839,,44303,1460,5114025,,0,,0,,0,,,0,1,0,,,,0,,
AIZ UN Equity,Assurant Inc,,70.49,,0,0,US,Life Insurance,Financials,Financials,Insurance,US04621X1081,,,,,,,0,,0,,0,,,0,0,0,,,,0,,
T UN Equity,AT&T Inc,AT&T,36.715,1,1,61.78576973,US,Fixed Line Telecommunications,Telecommunications,Telecommunication Services,Diversified Telecommunication Services,US00206R1023,124675,,2836,,,,11530.90039,,38.84629251,87.0605011,0,76.60749817,144.7993011,0.253895107,1,1.080810059,49.73899841,8183.339844,1080.810059,8.160321174,69.94609833,
