Ticker,Name,GR_name,address,latitude,longitude,Price,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Dschgd:Y,Wtr Intens/Sls:Y,Wste Per Sls:Y,Engy Intens/Sls:Y,Energy Intensity per Assets,Wste Sent to Ldflls:Y,Waste Generated per Assets,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y,Tot Wtr Use:Y,Waste Recycl:Y,Total Waste:Y,Energy Consump:Y,Wste Sent to Ldflls:Y
MCK UN Equity,McKesson Corp,,"Akron, Ohio",41.0830643,-81.5184854,161.25,1.89E+11,US58155Q1031,Consumer Services,Food & Drug Retailers,US,,,,,,,,,,,,,4.238900185,,,
NTRS UW Equity,Northern Trust Corp,,"Akron, Ohio",41.0830643,-81.5184854,63.02,4856500096,US6658591044,Financials,Financial Services,US,,,,,26.03140068,,,,14.53100014,47.56999969,,,,,109.1624985,
JNJ UN Equity,Johnson & Johnson,,"Allentown, Pennsylvania",40.6022059,-75.4712794,109.27,70073999360,US4781601046,Health Care,Pharmaceuticals & Biotechnology,US,,7840,147.7176056,2.328799963,47.10609818,,24.63299942,,260.6659851,,15880,10980,18.90999985,173.1000061,3501.439941,24.63299942
VAR UN Equity,Varian Medical Systems Inc,,"Allentown, Pennsylvania",40.6022059,-75.4712794,80.41,3118350016,US92220P1057,Health Care,Health Care Equipment & Services,US,,,45.53279877,0.016899999,25.01339912,,,,747.9169922,22.1439991,4000,138.8659973,,0.0438,76.28600311,
BRK/B UN Equity,Berkshire Hathaway Inc,,"Amsterdam, New York",42.937745,-74.190356,140.81,2.11E+11,US0846707026,Financials,Nonlife Insurance,US,,,,,,,,,,,1181.621948,,,,,
EOG UN Equity,EOG Resources Inc,,"Amsterdam,Netherlands",52.3264009,4.739650991,71.45,8048251008,US26875P1012,Oil & Gas,Oil & Gas Producers,US,,,,,,,,,,159.1190033,,,,,,
KSU UN Equity,Kansas City Southern,,"Arlington, Virginia",38.87318445,-77.07093294,85.27,2418800064,US4851703029,Industrials,Industrial Transportation,US,,,,,,,,,,,148.6999969,,,,,
DIS UN Equity,Walt Disney Co/The,,"Arlington, Virginia",38.87318445,-77.07093294,96.16,54317999104,US2546871060,Consumer Services,Media,US,,,534.3391724,6.838200092,,,133.9250031,,,765.625,74973,26801.90039,,308,5459.839844,133.9250031
AKAM UW Equity,Akamai Technologies Inc,,"Armonk, New York",41.1264849,-73.7140195,53.28,2197448000,US00971T1016,Technology,Software & Computer Services,US,,,,0.310499996,161.7115021,79.36457508,,,95.30500031,86.53199768,109.3158035,,0.49000001,0.49000001,317.5809937,
ACN UN Equity,Accenture PLC,Accenture,"Atlanta, Georgia",33.7490987,-84.3901849,112.1,33502614016,IE00B4BNMY34,Industrials,Support Services,IE,,,,,14.25839996,25.69279041,,,449.2399902,237.2389984,5532.844238,,,,469.3059998,
AMZN UW Equity,Amazon.com Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,591.43,1.07E+11,US0231351067,Consumer Services,General Retailers,US,,,,,,,,,,,,,,,,
AAPL UW Equity,Apple Inc,Apple,"Atlanta, Georgia",33.7490987,-84.3901849,108.54,2.35E+11,US0378331005,Technology,Technology Hardware & Equipment,US,,,10.0649004,0.048900001,6.087900162,,4.188000202,,33836.60156,306.6749878,884.9760132,2000,10.22099972,16.16799927,1240.390015,5.947000027
CVC UN Equity,Cablevision Systems Corp,,"Atlanta, Georgia",33.7490987,-84.3901849,32.76,6509742976,US12686C1099,Consumer Services,Media,US,,,,,,,,,,,,,,,,
DLTR UW Equity,Dollar Tree Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,80.64,15498400256,US2567461080,Consumer Services,General Retailers,US,,,,,,,,,,,,,,,,
EMN UN Equity,Eastman Chemical Co,,"Atlanta, Georgia",33.7490987,-84.3901849,71.19,9648000000,US2774321002,Basic Materials,Chemicals,US,,,,,2653.930908,,,,,,,,,,25284,
EXPE UW Equity,Expedia Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,103.57,6672316928,US30212P3038,Consumer Services,Travel & Leisure,US,,,,,,,,,,,57.95199966,,,,,
FFIV UW Equity,F5 Networks Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,97.72,1946516000,US3156161024,Technology,Technology Hardware & Equipment,US,,,,0.1153,15.34869957,,0.111400001,,6.680900097,7.521900177,556.6530151,,0.079400003,0.199699998,26.58469963,0.111400001
IBM UN Equity,International Business Machines Corp,,"Atlanta, Georgia",33.7490987,-84.3901849,148.25,81742000128,US4592001014,Technology,Software & Computer Services,US,,,109.4048004,1.193300009,66.52870178,,12.72490025,,1701.170044,1882.01001,,10152,83.80770111,110.7289963,6173.399902,12.72490025
JNPR UN Equity,Juniper Networks Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,24.94,4857800128,US48203R1041,Technology,Technology Hardware & Equipment,US,,,,,54.68119812,,,,35.67900085,75.63800049,,,,,238.7055054,
MAT UW Equity,Mattel Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,32.44,5702568960,US5770811025,Consumer Goods,Leisure Goods,US,,,,,,,,,,212.3390045,105.1330032,,,,,
MDT UN Equity,Medtronic PLC,,"Atlanta, Georgia",33.7490987,-84.3901849,76.14,28569999872,IE00BTN1Y115,Health Care,Health Care Equipment & Services,IE,,,59.22710037,0.735400021,25.86249924,4.911655809,,0.139663492,,,15.64400005,1200,7.599999905,14.89999962,524,
PX UN Equity,Praxair Inc,,"Atlanta, Georgia",33.7490987,-84.3901849,111.67,10776000000,US74005P1049,Basic Materials,Chemicals,US,55975,,,3.726999998,2167.60376,1345.692751,9.880000114,2.313824704,250,12484,34112.77344,110300,69,80.69999695,26593,9.699999809
D UN Equity,Dominion Resources Inc/VA,,"Auburn Hills, Michigan",42.6647495,-83.23093751,72.97,11683000064,US25746U1097,Utilities,Electricity,US,,,979133.1875,,,,,,,,,12176500,0.041999999,,,
FE UN Equity,FirstEnergy Corp,,"Austin, Minnesota",43.6680928,-92.9744896,34.76,15025999872,US3379321074,Utilities,Electricity,US,,,,,,,,,,,122.4440002,,,,,
EXR UN Equity,Extra Space Storage Inc,,"Austin, Texas",30.267,-97.742,92.7,782270000,US30225T1025,Financials,Real Estate Investment Trusts,US,,,,,,,,,,,15779.07422,,,,,
CMG UN Equity,Chipotle Mexican Grill Inc,,"Baltimore, Maryland",39.2908608,-76.6108073,450.6,4501222976,US1696561059,Consumer Services,Travel & Leisure,US,,,,,,,,,,,11850.51465,,,,,
FIS UN Equity,Fidelity National Information Services I,,"Baltimore, Maryland",39.2908608,-76.6108073,63.89,6595200000,US31620M1062,Industrials,Support Services,US,,,,,,,,,,,,,,,,
LLL UN Equity,L-3 Communications Holdings Inc,,"Baltimore, Maryland",39.2908608,-76.6108073,119.03,11193999872,US5024241045,Industrials,Aerospace & Defense,US,,,,,,,,,,,,,,,,
MJN UN Equity,Mead Johnson Nutrition Co,,"Baltimore, Maryland",39.2908608,-76.6108073,84.14,4071300032,US5828391061,Consumer Goods,Food Producers,US,,,,,,,,,,,,,,,,
XEL UN Equity,Xcel Energy Inc,,"Battle Creek, Michigan",42.3192548,-85.1824269,40.79,11024485888,US98389B1008,Utilities,Electricity,US,,,13977.08691,179.8455963,,,,,,,,144117,811.8549805,2101.699951,,
NI UN Equity,NiSource Inc,,"Bellevue, Washington",47.6144219,-122.1923372,23.42,5233699968,US65473P1057,Utilities,"Gas, Water & Multiutilities",US,344812.2253,319637.7188,53289.06641,1.96329999,2314.567139,602.2865804,5.915999889,0.510892247,1310.72998,173.2359924,,344812,2.497999907,12.70400047,14976.59961,5.915999889
JWN UN Equity,Nordstrom Inc,,"Bellevue, Washington",47.6144219,-122.1923372,52.45,14437999872,US6556641008,Consumer Services,General Retailers,US,,,,,,,,,,,16786,,,,,
DISCK UW Equity,Discovery Communications Inc,,"Benton Harbor, Michigan",42.116707,-86.454189,26.96,6393999872,US25470F3029,Consumer Services,Media,US,,,,,,,,,,,,,,,,
ALXN UW Equity,Alexion Pharmaceuticals Inc,,"Bentonville, Arkansas",38.372,-94.2088,148.03,2604046976,US0153511094,Health Care,Pharmaceuticals & Biotechnology,US,,,,,,,,,,,,,,,,
APD UN Equity,Air Products & Chemicals Inc,,"Berwyn, Pennsylvania",40.04442,-75.43285387,141.85,9689900288,US0091581068,Basic Materials,Chemicals,US,,104872,19135.54883,,10959.57422,,3.99090004,,13660,11570,119.4990005,199756,3.038500071,,114407,3.99090004
AEE UN Equity,Ameren Corp,,"Bethesda, Maryland",38.98130835,-77.12333453,49.16,6097999872,US0236081024,Utilities,"Gas, Water & Multiutilities",US,,4264890,,,,,,,1213.410034,91.47899628,210.8000031,,72.56240082,,,
AXP UN Equity,American Express Co,American Express Global Business Travel,"Bethesda, Maryland",38.98130835,-77.12333453,58.86,34441000448,US0258161092,Financials,Financial Services,US,,,,,,,,,,211.526001,670.09198,,,,,
STX UW Equity,Seagate Technology PLC,Ryder System,"Bethesda, Maryland",38.98130835,-77.12333453,33.11,12167999744,IE00B58JVZ52,Technology,Technology Hardware & Equipment,IE,,,951.9818726,1.439100027,120.8238983,168.6135094,15.81760025,2.008329036,5319.370117,996.4050293,241.147995,13065,1.04429996,19.77199936,1660,15.81760025
ETR UN Equity,Entergy Corp,,"Bethpage, New York",40.7442664,-73.4820687,77.19,11513250304,US29364G1031,Utilities,Electricity,US,,,,,3968.191895,,,,980.289978,5316.459961,,,,,42640.80078,
HPQ UN Equity,HP Inc,,"Beverly, Massachusetts",42.5584284,-70.8800491,11.99,88761999360,US40434L1052,Technology,Technology Hardware & Equipment,US,,1335,66.67320251,0.625100017,34.56129837,,55.61600113,,46600,1456.900024,6.224999905,7431,,69.66999817,3852,55.61600113
MLM UN Equity,Martin Marietta Materials Inc,,"Birmingham, Alabama",33.50122585,-86.80538662,161.96,3539614976,US5732841060,Industrials,Construction & Materials,US,,,,,,,,,,,,,,,,
RRC UN Equity,Range Resources Corp,PVH Corp.,"Birmingham, Alabama",33.50122585,-86.80538662,32.83,1713825952,US75281A1097,Oil & Gas,Oil & Gas Producers,US,2396.588564,,2011.503296,,,,,,,,,2588.560059,,,,
KO UN Equity,Coca-Cola Co/The,,"Boca Raton, Florida",26.3743445,-80.1027235,46.36,44294000640,US1912161007,Consumer Goods,Beverages,US,,,1405.126465,7.29129982,99.00140381,,,,,,,65835.79688,308.4129944,341.6260071,4638.609863,
BLL UN Equity,Ball Corp,,"Boise, Idaho",43.61656,-116.200835,70.64,7997000064,US0584981064,Industrials,General Industrials,US,,,784.1129761,4.91079998,404.3434143,,5.406099796,,13416.25781,898.4320068,,6639.946777,27.03030014,41.58499908,3424.02002,5.406099796
ATVI UW Equity,Activision Blizzard Inc,,"Boston, Massachusetts",42.3604823,-71.0595678,33.42,4664999936,US00507V1098,Consumer Goods,Leisure Goods,US,,,,,,,,,,,476.0840149,,,,,
DOW UN Equity,Dow Chemical Co/The,,"Boston, Massachusetts",42.3604823,-71.0595678,50.44,48777999360,US2605431038,Basic Materials,Chemicals,US,,,,25.78779984,2842.866211,,345,,103800,8100,,,,1500,165361,345
DTE UN Equity,DTE Energy Co,,"Boston, Massachusetts",42.3604823,-71.0595678,88.77,10337000192,US2333311072,Utilities,Electricity,US,,,606974.4375,,,,,,13215,2368,145.1000061,5863980,1200,,,
IP UN Equity,International Paper Co,,"Boston, Massachusetts",42.3604823,-71.0595678,39.6,22364999680,US4601461035,Basic Materials,Forestry & Paper,US,,841958.4375,37472.24609,117.1613998,5951.348633,,1183.569946,,,6061.359863,,884982,1583.52002,2767,140553,1183.569946
TWC UN Equity,Time Warner Cable Inc,Teradata,"Brentwood, Tennessee",36.033116,-86.782777,204.68,23696999936,US88732J2078,Consumer Services,Media,US,,,,,,,,,,,,,,,,
PEG UN Equity,Public Service Enterprise Group Inc,,"Bridgeport, Connecticut",41.1670412,-73.2048348,45.9,10415000064,US7445731067,Utilities,Electricity,US,,,,19.50690079,,,9.100000381,,63930,1137.32605,,,247.0980072,230.0455017,,9.100000381
PDCO UW Equity,Patterson Cos Inc,,"Brookfield, Wisconsin",43.0605671,-88.1064787,44.9,5081787008,US7033951036,Health Care,Health Care Equipment & Services,US,,,,,,,,,,,,,,,,
