Ticker,Name,address,latitude,longitude,Price,Climate Chg Pol:Y,Equal Opp Pol:Y,Water Policy,Human Rights Pol:Y,Energy Effic Pol:Y,Bus Ethics Pol:Y,Biodiv Pol:Y,Registered State Location,Product/Geographic Revenue,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Use:Y,Tot Wtr Dschgd:Y,Wste Sent to Ldflls:Y,Waste Recycl:Y ,Total Waste:Y,Energy Consump:Y ,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y
A UN Equity,Agilent Technologies Inc,"New York, New York",43.1561681,-75.8449946,39.47,0,1,0,1,1,1,0,0,0,4040000000,US00846U1016,Industrials,Electronic & Electrical Equipment,US,0,1061.939941,,0.744000018,4.122000217,6.543000221,247.2669983,,96.09999847,8.425000191
AA UN Equity,Alcoa Inc,"St. Paul, Minnesota",44.9504037,-93.1015026,9.48,1,1,1,1,1,1,1,0,0,22534000128,US0138171014,Basic Materials,Industrial Metals & Mining,US,98800,,,304,709,,126921,38.57400131,13500,4400
AAL UW Equity,American Airlines Group Inc,"Menlo Park, California",37.4538274,-122.1821871,38.36,0,1,0,1,1,1,0,0,0,40990000128,US02376R1023,Consumer Services,Travel & Leisure,US,0,1767.869995,,0.353899986,4.846000195,22.39800072,241744,,519,0.0612
AAP UN Equity,Advance Auto Parts Inc,"Milford, Massachusetts",43.07797955,-87.88181522,155.83,0,0,0,0,0,1,0,0,0,9737018112,US00751Y1064,Consumer Services,General Retailers,US,0,,,,,,,9.833999634,,23184
AAPL UW Equity,Apple Inc,"Atlanta, Georgia",33.7490987,-84.3901849,108.54,1,1,0,1,1,1,0,0,0,2.35E+11,US0378331005,Technology,Technology Hardware & Equipment,US,0,2000,,4.188000202,10.22099972,16.16799927,1240.390015,143.1820068,306.6749878,884.9760132
ABBV UN Equity,AbbVie Inc,"Roanoke, Virginia",37.270973,-79.9414313,59.3,1,1,1,1,1,1,0,0,0,22858999808,US00287Y1091,Health Care,Pharmaceuticals & Biotechnology,US,0,,,,,38.79999924,2240,,358,
ABC UN Equity,AmerisourceBergen Corp,"New York, New York",42.5846773,-87.8212263,86.66,0,1,0,0,0,1,0,0,0,1.39E+11,US03073E1055,Consumer Services,Food & Drug Retailers,US,0,,,,,,,,,
ABT UN Equity,Abbott Laboratories,"Minneapolis, Minnesota",44.9772995,-93.2654692,42.61,1,1,1,1,1,1,0,0,0,20404999680,US0028241000,Health Care,Pharmaceuticals & Biotechnology,US,0,12681.7002,10069.6543,14.13700008,28.15399933,59.46300125,3390.830078,,534,
ACN UN Equity,Accenture PLC,"Atlanta, Georgia",33.7490987,-84.3901849,112.1,1,1,1,1,1,1,0,0,0,33502614016,IE00B4BNMY34,Industrials,Support Services,IE,0,,,,,,469.3059998,33.12799835,237.2389984,5532.844238
ADBE UW Equity,Adobe Systems Inc,"New Orleans, Louisiana",29.9499323,-90.0701156,93.78,0,1,0,1,1,1,0,0,0,5069664896,US00724F1012,Technology,Software & Computer Services,US,0,0.824999988,,,,1.439100027,106.4759979,,29.1989994,
ADI UW Equity,Analog Devices Inc,"Mountain View, California",37.3943302,-122.0757135,58.36,0,1,1,0,1,1,0,0,0,3432534976,US0326541051,Technology,Technology Hardware & Equipment,US,0,1100,,,,1.950999975,,171871,95.15499878,51.80199814
ADM UN Equity,Archer-Daniels-Midland Co,"London,âè_United Kingdom",51.5073219,-0.1276474,35.72,0,1,1,1,1,1,0,0,0,67702001664,US0394831020,Consumer Goods,Food Producers,US,0,,,,,,,32.06499863,,7100
ADP UW Equity,Automatic Data Processing Inc,"Houston, Texas",29.7589382,-95.3676974,89.8,0,1,0,0,1,1,0,0,0,11247200000,US0530151036,Industrials,Support Services,US,0,,,,,,,,20.46299934,
ADS UN Equity,Alliance Data Systems Corp,"Toledo, Ohio",33.6431901,-117.8401648,212.43,0,1,0,0,0,1,0,0,0,6439792000,US0185811082,Industrials,Support Services,US,0,,,,,,,47400,79.96700287,56.98310089
